[2025-05-25 20:23:27] Starter gyro-kalibrering
[2025-05-25 20:23:33] Gyro offset målt: -0.15620 grader/s
[2025-05-25 20:23:33] Gyro-offset lagret til gyro_offset.txt.
[2025-05-25 20:23:33] Starter kompass-kalibrering
[2025-05-25 20:23:33] Starter rotasjon mot venstre
[2025-05-25 20:23:33] Lest kompass X=665, Y=-491
[2025-05-25 20:23:33] Lest kompass X=657, Y=-503
[2025-05-25 20:23:33] Lest kompass X=670, Y=-516
[2025-05-25 20:23:33] Lest kompass X=680, Y=-518
[2025-05-25 20:23:33] Lest kompass X=677, Y=-483
[2025-05-25 20:23:33] Lest kompass X=687, Y=-493
[2025-05-25 20:23:33] Lest kompass X=692, Y=-498
[2025-05-25 20:23:33] Lest kompass X=692, Y=-501
[2025-05-25 20:23:33] Lest kompass X=687, Y=-513
[2025-05-25 20:23:33] Lest kompass X=692, Y=-503
[2025-05-25 20:23:33] Lest kompass X=670, Y=-538
[2025-05-25 20:23:33] Lest kompass X=687, Y=-506
[2025-05-25 20:23:33] Lest kompass X=697, Y=-516
[2025-05-25 20:23:33] Lest kompass X=700, Y=-503
[2025-05-25 20:23:33] Lest kompass X=697, Y=-511
[2025-05-25 20:23:33] Lest kompass X=702, Y=-513
[2025-05-25 20:23:33] Lest kompass X=695, Y=-541
[2025-05-25 20:23:33] Lest kompass X=700, Y=-508
[2025-05-25 20:23:33] Lest kompass X=712, Y=-563
[2025-05-25 20:23:33] Lest kompass X=710, Y=-546
[2025-05-25 20:23:33] Lest kompass X=687, Y=-526
[2025-05-25 20:23:33] Lest kompass X=692, Y=-566
[2025-05-25 20:23:33] Lest kompass X=675, Y=-523
[2025-05-25 20:23:34] Lest kompass X=680, Y=-548
[2025-05-25 20:23:34] Lest kompass X=697, Y=-503
[2025-05-25 20:23:34] Lest kompass X=700, Y=-501
[2025-05-25 20:23:34] Lest kompass X=692, Y=-516
[2025-05-25 20:23:34] Lest kompass X=717, Y=-513
[2025-05-25 20:23:34] Lest kompass X=702, Y=-513
[2025-05-25 20:23:34] Lest kompass X=700, Y=-496
[2025-05-25 20:23:34] Lest kompass X=682, Y=-498
[2025-05-25 20:23:34] Lest kompass X=687, Y=-491
[2025-05-25 20:23:34] Lest kompass X=672, Y=-486
[2025-05-25 20:23:34] Lest kompass X=685, Y=-523
[2025-05-25 20:23:34] Lest kompass X=705, Y=-513
[2025-05-25 20:23:34] Lest kompass X=687, Y=-508
[2025-05-25 20:23:34] Lest kompass X=702, Y=-506
[2025-05-25 20:23:34] Lest kompass X=715, Y=-513
[2025-05-25 20:23:34] Lest kompass X=682, Y=-501
[2025-05-25 20:23:34] Lest kompass X=685, Y=-511
[2025-05-25 20:23:34] Lest kompass X=697, Y=-491
[2025-05-25 20:23:34] Lest kompass X=690, Y=-506
[2025-05-25 20:23:34] Lest kompass X=677, Y=-516
[2025-05-25 20:23:34] Lest kompass X=677, Y=-511
[2025-05-25 20:23:34] Lest kompass X=660, Y=-533
[2025-05-25 20:23:34] Lest kompass X=682, Y=-493
[2025-05-25 20:23:34] Lest kompass X=712, Y=-518
[2025-05-25 20:23:34] Lest kompass X=695, Y=-498
[2025-05-25 20:23:34] Lest kompass X=695, Y=-523
[2025-05-25 20:23:34] Lest kompass X=690, Y=-516
[2025-05-25 20:23:34] Lest kompass X=707, Y=-541
[2025-05-25 20:23:34] Lest kompass X=692, Y=-511
[2025-05-25 20:23:34] Lest kompass X=697, Y=-538
[2025-05-25 20:23:34] Lest kompass X=702, Y=-551
[2025-05-25 20:23:34] Lest kompass X=700, Y=-536
[2025-05-25 20:23:34] Lest kompass X=710, Y=-548
[2025-05-25 20:23:34] Lest kompass X=697, Y=-506
[2025-05-25 20:23:34] Lest kompass X=705, Y=-513
[2025-05-25 20:23:34] Lest kompass X=707, Y=-498
[2025-05-25 20:23:34] Lest kompass X=695, Y=-506
[2025-05-25 20:23:34] Lest kompass X=682, Y=-501
[2025-05-25 20:23:34] Lest kompass X=692, Y=-491
[2025-05-25 20:23:34] Lest kompass X=700, Y=-513
[2025-05-25 20:23:34] Lest kompass X=710, Y=-477
[2025-05-25 20:23:34] Lest kompass X=712, Y=-528
[2025-05-25 20:23:34] Lest kompass X=702, Y=-501
[2025-05-25 20:23:34] Lest kompass X=657, Y=-526
[2025-05-25 20:23:34] Lest kompass X=680, Y=-523
[2025-05-25 20:23:34] Lest kompass X=685, Y=-531
[2025-05-25 20:23:34] Lest kompass X=670, Y=-538
[2025-05-25 20:23:34] Lest kompass X=687, Y=-531
[2025-05-25 20:23:34] Lest kompass X=687, Y=-523
[2025-05-25 20:23:34] Lest kompass X=682, Y=-523
[2025-05-25 20:23:34] Lest kompass X=695, Y=-521
[2025-05-25 20:23:34] Lest kompass X=712, Y=-503
[2025-05-25 20:23:34] Lest kompass X=685, Y=-513
[2025-05-25 20:23:34] Lest kompass X=677, Y=-498
[2025-05-25 20:23:34] Lest kompass X=670, Y=-513
[2025-05-25 20:23:34] Lest kompass X=660, Y=-541
[2025-05-25 20:23:34] Lest kompass X=710, Y=-526
[2025-05-25 20:23:34] Lest kompass X=707, Y=-518
[2025-05-25 20:23:34] Lest kompass X=680, Y=-508
[2025-05-25 20:23:34] Lest kompass X=690, Y=-516
[2025-05-25 20:23:34] Lest kompass X=685, Y=-503
[2025-05-25 20:23:34] Lest kompass X=697, Y=-518
[2025-05-25 20:23:34] Lest kompass X=687, Y=-503
[2025-05-25 20:23:34] Lest kompass X=682, Y=-513
[2025-05-25 20:23:34] Lest kompass X=687, Y=-533
[2025-05-25 20:23:34] Lest kompass X=697, Y=-475
[2025-05-25 20:23:34] Lest kompass X=685, Y=-498
[2025-05-25 20:23:34] Lest kompass X=657, Y=-506
[2025-05-25 20:23:34] Lest kompass X=682, Y=-503
[2025-05-25 20:23:34] Lest kompass X=682, Y=-503
[2025-05-25 20:23:34] Lest kompass X=680, Y=-511
[2025-05-25 20:23:34] Lest kompass X=672, Y=-518
[2025-05-25 20:23:34] Lest kompass X=687, Y=-513
[2025-05-25 20:23:34] Lest kompass X=692, Y=-526
[2025-05-25 20:23:34] Lest kompass X=680, Y=-501
[2025-05-25 20:23:34] Lest kompass X=687, Y=-521
[2025-05-25 20:23:34] Lest kompass X=672, Y=-483
[2025-05-25 20:23:34] Lest kompass X=695, Y=-498
